ID,FoodGroup,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
17052,"Lamb, Veal, and Game Products","Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised",No name,No name,No name,345.0,28.51,24.73,0.0,0.0,0.0,0.0,0.11,2.83,0.0,0.16,18.0,6.04,0.21,0.06,27.0,0.121,2.35,24.0,0.027000000000000003,185.0,33.1,6.86
2009,Spices and Herbs,"Spices, chili powder",No name,No name,No name,282.0,13.46,14.28,49.7,7.19,34.8,1483.0,2.094,0.0,0.7,38.14,28.0,11.6,0.94,0.25,330.0,1.0,17.3,149.0,1.7,300.0,20.4,4.3
23597,Beef Products,"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",No name,No name,No name,124.0,22.6,3.0,0.0,0.0,0.0,0.0,0.667,1.6,0.0,0.28,13.0,6.78,0.147,0.091,20.0,0.101,1.96,25.0,0.014,219.0,28.8,4.3
20647,Cereal Grains and Pasta,Millet flour,No name,No name,No name,382.0,10.75,4.25,75.12,1.66,3.5,0.0,0.3720000000000001,0.0,0.0,0.11,42.0,6.02,0.073,0.413,14.0,0.535,3.94,119.0,1.002,285.0,32.7,2.63
19161,Sweets,"Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars",No name,Masterfoods USA,No name,536.0,9.18,32.67,54.15,36.13,3.1,20.0,0.114,0.26,0.3,3.42,15.0,2.379,0.145,0.098,75.0,0.29,1.32,61.0,0.942,173.0,12.9,1.61
19175,Sweets,"Gelatin desserts, dry mix, reduced calorie, with aspartame",No name,No name,No name,198.0,15.67,0.0,80.21,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.06,2.0,0.0,1293.0,0.0,0.0
20078,Cereal Grains and Pasta,"Wheat germ, crude",No name,No name,No name,360.0,23.15,9.72,51.8,0.0,13.2,0.0,1.3,0.0,0.0,0.0,281.0,6.813,0.499,1.882,39.0,0.7959999999999999,6.26,239.0,13.300999999999998,842.0,79.2,12.29
3044,Baby Foods,"Babyfood, dinner, macaroni and tomato and beef, strained",No name,No name,No name,61.0,2.36,1.47,9.45,2.09,1.2,44.0,0.056,0.15,0.3,2.62,12.0,0.715,0.043,0.038,17.0,0.05,0.46,12.0,0.13,39.0,8.4,0.54
21008,Fast Foods,"Fast foods, biscuit, with ham",No name,No name,No name,342.0,11.85,16.3,38.75,1.97,0.7,27.0,0.12,0.03,0.1,1.23,53.0,3.08,0.28,0.45,142.0,0.032,2.41,20.0,0.32,490.0,17.1,1.46
7264,Sausages and Luncheon Meats,"LOUIS RICH, Turkey Ham (10% water added)",No name,No name,No name,113.0,18.2,4.1,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,1.27,22.0,0.0,294.0,0.0,2.59
8584,Breakfast Cereals,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",No name,"Kellogg, Co.",No name,381.0,6.5,7.3,81.2,29.9,10.6,725.0,2.26,6.8,68.0,0.53,755.0,22.6,1.92,1.69,18.0,0.38,26.1,61.0,3.1710000000000003,175.0,31.6,1.4
36604,Restaurant Foods,"CRACKER BARREL, chicken tenderloin platter, fried, from kid's menu",family style,Cracker Barrel,No name,294.0,18.67,15.41,20.24,0.19,1.0,2.0,0.444,0.13,0.0,1.27,0.0,7.01,0.13699999999999998,0.093,12.0,0.069,0.58,29.0,0.266,275.0,15.2,0.67
44259,Sweets,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",No name,No name,No name,351.0,1.6,0.1,86.04,2.9,0.9,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,49.0,0.04,0.05,17.0,0.0,12.0,0.9,0.19
15236,Finfish and Shellfish Products,"Fish, salmon, Atlantic, farmed, raw",No name,No name,Salmo salar L.,208.0,20.42,13.42,0.0,0.0,0.0,0.0,0.636,3.23,3.9,3.55,26.0,8.672,0.155,0.207,9.0,0.045,0.34,27.0,0.011,240.0,24.0,0.36
18969,Baked Products,"Cream puff, eclair, custard or cream filled, iced",No name,No name,No name,334.0,4.41,18.52,37.43,22.05,0.9,23.0,0.041,0.17,0.0,0.95,100.0,1.908,0.241,0.263,35.0,0.06,0.95,10.0,0.224,71.0,15.5,0.45
18170,Baked Products,"Cookies, fig bars",No name,No name,No name,348.0,3.7,7.3,70.9,46.36,4.6,9.0,0.075,0.09,0.3,0.65,53.0,1.874,0.217,0.158,64.0,0.147,2.9,27.0,0.343,62.0,3.3,0.39
43541,Sweets,"Ice creams, chocolate, rich",No name,No name,No name,251.0,4.72,16.98,19.78,17.35,0.9,201.0,0.033,0.18,0.5,0.46,5.0,0.182,0.16699999999999998,0.03,142.0,0.175,1.02,32.0,0.173,115.0,2.1,0.64
11546,Vegetables and Vegetable Products,"Tomato products, canned, paste, without salt added",No name,No name,No name,82.0,4.32,0.47,18.91,12.18,4.1,76.0,0.21600000000000005,0.0,21.9,4.3,12.0,3.076,0.153,0.06,36.0,0.365,2.98,42.0,0.302,83.0,5.3,0.63
